Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,O_U_2.5,BTTS,Home_Pts_Last_5,Away_Pts_Last_5,Home_Avg_GF,Home_Avg_GA,Away_Avg_GF,Away_Avg_GA,Home_Avg_SOT,Away_Avg_SOT,H2H_Home_Win_Rate,Home_Elo,Away_Elo,Home_Goal_Difference,Away_Goal_Difference,Elo_Difference,PSH,PSD,PSA,P>2.5,P<2.5,Avg>2.5,Avg<2.5
N1,12/08/2022,19:00,Excelsior,Vitesse,3,1,H,1,1,3,0,2.0,0.0,2.0,5.0,4.0,3.0,0.5,1512.262736403063,1487.737263596937,2.0,-3.0,104.52547280612589,3.63,4.11,1.96,1.61,2.43,1.59,2.35
N1,13/08/2022,17:45,Go Ahead Eagles,PSV Eindhoven,2,5,A,1,1,0,3,0.0,2.0,4.0,1.0,2.0,6.0,0.5,1492.262736403063,1507.737263596937,-2.0,3.0,64.52547280612589,8.03,5.49,1.38,1.59,2.46,1.56,2.39
N1,13/08/2022,19:00,FC Emmen,Waalwijk,1,1,D,0,1,0,1,1.0,4.0,2.0,2.0,2.0,3.0,0.5,1492.262736403063,1497.737263596937,-3.0,0.0,74.52547280612589,1.93,3.77,4.03,1.9,1.99,1.85,1.95
N1,13/08/2022,19:00,Utrecht,Cambuur,0,0,D,0,0,1,0,2.0,2.0,0.0,2.0,3.0,8.0,0.5,1502.262736403063,1487.737263596937,0.0,-2.0,94.52547280612589,1.52,4.56,6.57,1.5,2.68,1.47,2.64
N1,13/08/2022,20:00,Feyenoord,Heerenveen,0,0,D,0,0,3,1,5.0,2.0,0.0,0.0,8.0,2.0,0.5,1512.262736403063,1497.737263596937,3.0,0.0,94.52547280612589,1.31,6.13,9.49,1.49,2.73,1.45,2.67
N1,14/08/2022,11:15,Volendam,Nijmegen,1,4,A,1,1,1,0,2.0,2.0,0.0,1.0,3.0,4.0,0.5,1502.262736403063,1487.737263596937,0.0,-1.0,94.52547280612589,2.66,3.82,2.56,1.69,2.26,1.64,2.24
N1,14/08/2022,13:30,Ajax,Groningen,6,1,H,1,1,3,1,3.0,2.0,2.0,2.0,4.0,6.0,0.5,1512.262736403063,1497.737263596937,1.0,0.0,94.52547280612589,1.18,8.37,14.21,1.36,3.25,1.32,3.32
N1,14/08/2022,13:30,Twente,For Sittard,3,0,H,1,0,3,0,1.0,0.0,2.0,3.0,2.0,2.0,0.5,1512.262736403063,1487.737263596937,1.0,-1.0,104.52547280612589,1.5,4.45,7.22,1.68,2.27,1.64,2.23
N1,14/08/2022,15:45,Sparta Rotterdam,AZ Alkmaar,2,3,A,1,1,1,3,0.0,0.0,2.0,0.0,1.0,8.0,0.5,1502.262736403063,1507.737263596937,0.0,2.0,74.52547280612589,4.25,3.66,1.92,2.0,1.88,1.97,1.82
N1,20/08/2022,15:30,Vitesse,Heerenveen,0,4,A,1,0,0,2,1.5,4.0,0.0,0.0,4.5,2.5,0.5,1480.6581526866537,1500.392727309767,-2.5,0.0,60.2654253768867,2.03,3.85,3.63,1.8,2.1,1.75,2.07
N1,20/08/2022,17:45,For Sittard,Cambuur,1,4,A,1,1,0,1,1.0,3.0,0.0,1.0,1.5,9.0,0.5,1480.6581526866537,1490.392727309767,-2.0,-1.0,70.2654253768867,2.25,3.82,3.11,1.68,2.29,1.64,2.23
N1,20/08/2022,20:00,FC Emmen,Utrecht,3,2,H,1,1,1,2,1.0,2.5,1.0,1.0,3.5,4.5,0.5,1490.1500245142663,1499.607272690233,-1.5,0.0,70.5427518240333,3.16,3.63,2.29,1.89,1.99,1.83,1.96
N1,21/08/2022,11:15,Groningen,Go Ahead Eagles,1,0,H,0,0,1,0,1.5,4.0,1.0,3.5,4.0,3.0,0.5,1490.392727309767,1480.4266060028253,-2.5,-2.5,89.96612130694166,1.88,3.7,4.38,1.93,1.96,1.9,1.89
N1,21/08/2022,13:30,Sparta Rotterdam,Ajax,0,1,A,0,0,1,6,1.0,1.5,4.5,1.5,2.0,7.5,0.5,1490.1500245142663,1519.607272690233,-0.5,3.0,50.5427518240333,10.95,6.46,1.26,1.4,3.05,1.38,2.96
N1,21/08/2022,15:45,Waalwijk,Feyenoord,0,1,A,0,0,2,4,1.5,1.5,2.5,1.0,2.5,9.5,0.5,1499.8499754857337,1509.607272690233,0.0,1.5,70.24270279550069,7.61,5.82,1.37,1.48,2.75,1.46,2.66
N1,26/08/2022,19:00,Nijmegen,Groningen,1,1,D,0,1,3,4,2.0,1.0,1.3333333333333333,2.6666666666666665,6.0,3.3333333333333335,0.5,1500.392727309767,1497.859658193902,1.0,-1.3333333333333333,82.53306911586492,2.1,3.53,3.71,1.96,1.93,1.92,1.87
N1,27/08/2022,15:30,Go Ahead Eagles,Sparta Rotterdam,0,1,A,0,0,0,1,0.6666666666666666,2.6666666666666665,0.6666666666666666,1.3333333333333333,3.0,3.0,0.5,1472.9596751186903,1478.7054630589073,-2.0,-0.6666666666666666,74.25421205978296,2.33,3.54,3.18,1.97,1.92,1.93,1.86
N1,27/08/2022,17:45,Vitesse,Waalwijk,2,2,D,1,1,0,2,1.0,4.0,1.0,1.3333333333333333,3.6666666666666665,3.0,0.5,1468.9407639082551,1487.8553309973797,-3.0,-0.33333333333333326,61.0854329108754,1.69,4.24,4.94,1.75,2.17,1.71,2.12
N1,27/08/2022,19:00,Feyenoord,FC Emmen,4,0,H,1,0,7,4,2.0,0.6666666666666666,1.6666666666666667,2.3333333333333335,9.0,4.666666666666667,0.5,1521.601917178587,1498.1470889475947,1.3333333333333335,-0.6666666666666667,103.45482823099223,1.28,6.32,10.36,1.47,2.74,1.47,2.63
