Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,O_U_2.5,BTTS,Home_Pts_Last_5,Away_Pts_Last_5,Home_Avg_GF,Home_Avg_GA,Away_Avg_GF,Away_Avg_GA,Home_Avg_SOT,Away_Avg_SOT,H2H_Home_Win_Rate,Home_Elo,Away_Elo,Home_Goal_Difference,Away_Goal_Difference,Elo_Difference,PSH,PSD,PSA,P>2.5,P<2.5,Avg>2.5,Avg<2.5
D1,12/08/2022,19:30,Freiburg,Dortmund,1,3,A,1,1,3,3,4.0,0.0,1.0,0.0,7.0,4.0,0.5,1512.262736403063,1507.737263596937,4.0,1.0,84.52547280612589,3.15,3.83,2.26,1.63,2.4,1.58,2.4
D1,13/08/2022,14:30,RB Leipzig,FC Koln,2,2,D,1,1,1,3,1.0,1.0,3.0,1.0,9.0,10.0,0.5,1502.262736403063,1507.737263596937,0.0,2.0,74.52547280612589,1.44,4.91,7.76,1.59,2.5,1.57,2.41
D1,13/08/2022,14:30,Werder Bremen,Stuttgart,2,2,D,1,1,1,1,2.0,2.0,1.0,1.0,5.0,2.0,0.5,1502.262736403063,1497.737263596937,0.0,0.0,84.52547280612589,2.36,3.62,3.1,1.69,2.29,1.67,2.24
D1,13/08/2022,17:30,Schalke 04,M'gladbach,2,2,D,1,1,0,3,1.0,3.0,3.0,1.0,2.0,8.0,0.5,1492.262736403063,1507.737263596937,-2.0,2.0,64.52547280612589,3.21,3.81,2.23,1.58,2.52,1.55,2.46
D1,14/08/2022,14:30,Mainz,Union Berlin,0,0,D,0,0,3,3,2.0,1.0,3.0,1.0,6.0,8.0,0.5,1512.262736403063,1507.737263596937,1.0,2.0,84.52547280612589,2.3,3.23,3.6,2.08,1.84,2.02,1.81
D1,14/08/2022,16:30,Bayern Munich,Wolfsburg,2,0,H,0,0,3,1,6.0,1.0,2.0,2.0,10.0,3.0,0.5,1512.262736403063,1497.737263596937,5.0,0.0,94.52547280612589,1.17,9.29,14.98,,,1.22,4.26
D1,19/08/2022,19:30,M'gladbach,Hertha,1,0,H,0,0,4,1,2.5,1.5,1.0,2.0,8.5,4.0,0.5,1509.5733939971747,1489.8767854918124,1.0,-1.0,99.69660850536229,1.54,4.87,5.83,1.54,2.61,1.51,2.59
D1,20/08/2022,14:30,Dortmund,Werder Bremen,2,3,A,1,1,6,2,2.0,0.5,2.0,2.0,5.5,4.0,0.5,1520.1232145081876,1499.8767854918124,1.5,0.0,100.24642901637526,1.41,5.41,7.64,1.42,3.02,1.4,2.97
D1,20/08/2022,14:30,Augsburg,Mainz,1,2,A,1,1,3,4,1.0,2.5,1.0,0.5,3.0,5.5,0.5,1500.1232145081876,1509.8767854918124,-1.5,0.5,70.24642901637526,3.66,3.58,2.13,1.93,1.98,1.86,1.96
D1,20/08/2022,14:30,Leverkusen,Hoffenheim,0,3,A,1,0,0,3,0.5,1.5,2.0,2.5,6.5,7.0,0.5,1479.8767854918124,1499.8767854918124,-1.0,-0.5,60.0,1.72,4.42,4.6,1.47,2.84,1.44,2.82
