Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,O_U_2.5,BTTS,Home_Pts_Last_5,Away_Pts_Last_5,Home_Avg_GF,Home_Avg_GA,Away_Avg_GF,Away_Avg_GA,Home_Avg_SOT,Away_Avg_SOT,H2H_Home_Win_Rate,Home_Elo,Away_Elo,Home_Goal_Difference,Away_Goal_Difference,Elo_Difference,PSH,PSD,PSA,P>2.5,P<2.5,Avg>2.5,Avg<2.5
F1,12/08/2022,20:00,Nantes,Lille,1,1,D,0,1,1,3,0.0,0.0,4.0,1.0,4.0,7.0,0.5,1502.262736403063,1507.737263596937,0.0,3.0,74.52547280612589,3.12,3.42,2.44,2.01,1.9,1.95,1.87
F1,13/08/2022,16:00,Monaco,Rennes,1,1,D,0,1,3,0,2.0,1.0,0.0,1.0,11.0,6.0,0.5,1512.262736403063,1487.737263596937,1.0,-1.0,104.52547280612589,2.21,3.68,3.36,1.79,2.12,1.76,2.08
F1,13/08/2022,20:00,Paris SG,Montpellier,5,2,H,1,1,3,3,5.0,0.0,3.0,2.0,12.0,6.0,0.5,1512.262736403063,1507.737263596937,5.0,1.0,84.52547280612589,1.1,11.52,25.32,,,1.22,4.25
F1,14/08/2022,14:00,Troyes,Toulouse,0,3,A,1,0,0,1,2.0,3.0,1.0,1.0,10.0,4.0,0.5,1492.262736403063,1497.737263596937,-1.0,0.0,74.52547280612589,2.75,3.42,2.73,2.14,1.78,2.1,1.74
F1,14/08/2022,14:00,Auxerre,Angers,2,2,D,1,1,0,1,1.0,4.0,0.0,0.0,2.0,6.0,0.5,1492.262736403063,1497.737263596937,-3.0,0.0,74.52547280612589,2.31,3.18,3.64,2.16,1.77,2.11,1.74
F1,14/08/2022,14:00,Ajaccio,Lens,0,0,D,0,0,0,3,1.0,2.0,3.0,2.0,4.0,7.0,0.5,1492.262736403063,1507.737263596937,-1.0,1.0,64.52547280612589,3.31,3.29,2.4,2.26,1.7,2.22,1.67
F1,14/08/2022,16:05,Nice,Strasbourg,1,1,D,0,1,1,0,1.0,1.0,1.0,2.0,4.0,7.0,0.5,1502.262736403063,1487.737263596937,0.0,-1.0,94.52547280612589,2.22,3.37,3.63,2.12,1.79,2.1,1.75
F1,14/08/2022,19:45,Brest,Marseille,1,1,D,0,1,0,3,2.0,3.0,4.0,1.0,4.0,6.0,0.5,1492.262736403063,1507.737263596937,-1.0,3.0,64.52547280612589,4.16,4.02,1.87,1.74,2.2,1.73,2.13
F1,19/08/2022,20:00,Lyon,Troyes,4,1,H,1,1,3,0,2.0,1.0,1.0,3.0,6.0,6.0,0.5,1507.737263596937,1480.1500245142663,1.0,-2.0,107.58723908267075,1.3,6.19,9.6,1.5,2.69,1.47,2.68
F1,20/08/2022,16:00,Monaco,Lens,1,4,A,1,1,4,4,1.5,1.0,1.5,1.0,7.5,5.0,0.5,1509.3418473133463,1509.5733939971747,0.5,0.5,79.76845331617164,1.78,4.1,4.6,1.72,2.23,1.69,2.18
F1,20/08/2022,20:00,Marseille,Nantes,2,1,H,1,1,4,2,2.5,1.0,0.5,0.5,4.0,2.5,0.5,1509.5733939971747,1500.1500245142663,1.5,0.0,89.42336948290836,1.61,4.37,5.74,1.8,2.11,1.79,2.04
F1,21/08/2022,12:00,Strasbourg,Reims,1,1,D,0,1,1,0,1.0,1.5,1.5,4.0,6.0,6.0,0.5,1490.392727309767,1479.8767854918124,-0.5,-2.5,90.51594181795463,1.84,3.52,5.09,2.2,1.74,2.14,1.71
F1,21/08/2022,14:00,Toulouse,Lorient,2,2,D,1,1,4,3,2.0,0.5,1.0,0.0,4.0,2.0,0.5,1509.8499754857337,1512.262736403063,1.5,1.0,77.58723908267075,2.05,3.55,3.95,2.04,1.87,2.01,1.82
F1,21/08/2022,14:00,Montpellier,Auxerre,1,2,A,1,1,3,1,2.5,3.5,1.5,3.0,5.0,3.0,0.5,1500.1232145081876,1490.1500245142663,-1.0,-1.5,89.97318999392132,2.11,3.75,3.53,1.88,2.02,1.89,1.92
F1,21/08/2022,14:00,Angers,Brest,1,3,A,1,1,2,1,1.0,1.0,1.5,2.0,4.0,4.5,0.5,1499.8499754857337,1490.4266060028253,0.0,-0.5,89.42336948290836,2.39,3.28,3.35,1.99,1.92,1.97,1.85
F1,21/08/2022,14:00,Clermont,Nice,1,0,H,0,0,3,2,2.0,3.5,1.0,1.0,3.0,3.5,0.5,1500.1232145081876,1499.607272690233,-1.5,0.0,80.51594181795463,3.65,3.6,2.12,2.04,1.88,2.0,1.82
F1,21/08/2022,16:05,Rennes,Ajaccio,2,1,H,1,1,1,1,0.5,1.0,0.5,1.0,7.0,3.0,0.5,1490.6581526866537,1490.4266060028253,-0.5,-0.5,80.23154668382836,1.43,4.68,8.97,1.98,1.93,1.92,1.89
F1,21/08/2022,19:45,Lille,Paris SG,1,7,A,1,1,4,6,2.5,1.0,5.0,1.0,6.0,11.0,0.5,1509.8499754857337,1519.8767854918124,1.5,4.0,69.97318999392132,6.49,4.8,1.51,1.61,2.44,1.56,2.42
F1,26/08/2022,20:00,Ajaccio,Lille,1,3,A,1,1,1,4,0.6666666666666666,1.3333333333333333,2.0,3.0,3.0,7.333333333333333,0.5,1482.6956646826354,1497.8627807220091,-0.6666666666666666,-1.0,64.8328839606263,3.64,3.2,2.3,2.43,1.62,2.38,1.59
F1,27/08/2022,16:00,Auxerre,Strasbourg,1,0,H,0,0,4,2,1.6666666666666667,2.3333333333333335,1.0,1.3333333333333333,2.6666666666666665,5.0,0.5,1502.6832840278673,1487.8448544424211,-0.6666666666666667,-0.33333333333333326,94.83842958544619,3.79,3.5,2.11,1.89,2.02,1.87,1.96
F1,27/08/2022,20:00,Lens,Rennes,2,1,H,1,1,7,4,2.3333333333333335,1.0,1.0,1.0,5.333333333333333,7.0,0.5,1521.829806216418,1498.3890940068436,1.3333333333333335,0.0,103.44071220957449,2.6,3.51,2.83,1.74,2.2,1.72,2.14
F1,28/08/2022,12:00,Nantes,Toulouse,3,1,H,1,1,2,5,0.6666666666666666,1.0,2.0,1.0,2.6666666666666665,5.333333333333333,0.5,1492.6684685554133,1507.653231000756,-0.33333333333333337,1.0,65.01523755465723,2.44,3.38,3.16,1.94,1.96,1.91,1.91
F1,28/08/2022,14:00,Brest,Montpellier,0,7,A,1,0,4,3,2.0,1.6666666666666667,2.0,3.0,5.333333333333333,5.666666666666667,0.5,1502.9450500439723,1487.5899549945866,0.33333333333333326,-1.0,95.35509504938568,1.94,3.65,4.26,1.75,2.19,1.73,2.13
F1,28/08/2022,14:00,Lorient,Clermont,2,1,H,1,1,4,6,1.5,1.0,1.6666666666666667,2.3333333333333335,3.0,2.6666666666666665,0.5,1514.4594808880406,1507.8463931654135,0.5,-0.6666666666666667,86.61308772262714,2.06,3.52,3.94,2.05,1.86,2.01,1.82
F1,28/08/2022,14:00,Nice,Marseille,0,3,A,1,0,2,7,0.6666666666666666,1.0,2.3333333333333335,1.0,3.6666666666666665,4.333333333333333,0.5,1491.8840940330072,1517.0549499560277,-0.33333333333333337,1.3333333333333335,54.829144076979446,2.85,3.54,2.58,1.97,1.93,1.94,1.88
F1,28/08/2022,14:00,Troyes,Angers,3,1,H,1,1,0,2,1.0,3.3333333333333335,1.0,1.6666666666666667,4.333333333333333,4.333333333333333,0.5,1473.1513108532877,1487.3315314445867,-2.3333333333333335,-0.6666666666666667,65.81977940870092,2.5,3.42,3.04,2.11,1.81,2.07,1.77
F1,28/08/2022,16:05,Reims,Lyon,1,1,D,0,1,1,6,1.3333333333333333,3.0,3.0,1.0,6.0,7.0,0.5,1482.4246583591582,1514.7359772579157,-1.6666666666666667,2.0,47.68868110124254,4.29,4.13,1.82,1.66,2.35,1.64,2.27
F1,28/08/2022,19:45,Paris SG,Monaco,1,1,D,0,1,9,4,5.666666666666667,1.0,1.3333333333333333,2.0,10.333333333333334,6.666666666666667,0.5,1531.863980255537,1497.0854350941029,4.666666666666667,-0.6666666666666667,114.77854516143407,1.2,8.35,12.77,1.34,3.36,1.24,4.0
F1,31/08/2022,18:00,Angers,Reims,2,4,A,1,1,2,2,1.0,2.0,1.25,2.5,4.0,5.75,0.5,1479.2036342683618,1481.0606232047155,-1.0,-1.25,78.14301106364633,2.66,3.3,2.92,2.18,1.76,2.09,1.75
F1,31/08/2022,18:00,Lyon,Auxerre,2,1,H,1,1,7,7,2.3333333333333335,1.0,1.5,1.75,6.333333333333333,2.75,0.5,1516.1000124123584,1510.019449870491,1.3333333333333335,-0.25,86.0805625418675,1.3,6.4,9.32,1.39,3.11,1.37,3.09
F1,31/08/2022,18:00,Monaco,Troyes,2,4,A,1,1,5,3,1.25,1.75,1.5,2.75,5.75,6.0,0.5,1500.2738701452065,1481.2792080295126,-0.5,-1.25,98.99466211569393,1.37,5.56,8.53,1.57,2.54,1.54,2.49
F1,31/08/2022,18:00,Montpellier,Ajaccio,2,0,H,0,0,6,1,3.25,2.25,0.75,1.75,6.25,2.75,0.5,1500.2675992628058,1470.8509859685137,1.0,-1.0,109.41661329429212,2.15,3.41,3.79,2.2,1.74,2.11,1.74
F1,31/08/2022,18:00,Strasbourg,Nantes,1,1,D,0,1,2,5,0.75,1.25,1.25,1.0,4.75,4.0,0.5,1480.5086885997976,1500.8187203742564,-0.5,0.25,59.68996822554118,1.93,3.76,4.15,1.93,1.98,1.91,1.9
F1,31/08/2022,20:00,Lens,Lorient,5,2,H,1,1,10,7,2.25,1.0,1.6666666666666667,1.0,5.0,5.0,0.5,1528.9375012939677,1522.0169459659276,1.25,0.6666666666666667,86.92055532804011,1.56,4.47,6.2,1.76,2.17,1.75,2.09
F1,31/08/2022,20:00,Lille,Nice,1,2,A,1,1,7,2,2.25,2.5,0.5,1.5,6.5,3.25,0.5,1509.7074594361309,1480.3189557802207,-0.25,-1.0,109.3885036559102,2.09,3.6,3.74,2.0,1.9,1.98,1.85
F1,31/08/2022,20:00,Marseille,Clermont,1,0,H,0,0,10,6,2.5,0.75,1.5,2.25,4.25,2.5,0.5,1528.6200882088142,1500.2889280875265,1.75,-0.75,108.33116012128767,1.4,5.25,8.38,1.66,2.35,1.64,2.28
F1,31/08/2022,20:00,Rennes,Brest,3,1,H,1,1,4,4,1.0,1.25,1.5,3.0,6.75,4.0,0.5,1491.281398929294,1490.267405775753,-0.25,-1.5,81.01399315354092,1.51,4.93,6.22,1.67,2.32,1.62,2.3
F1,31/08/2022,20:00,Toulouse,Paris SG,0,3,A,1,0,5,10,1.75,1.5,4.5,1.0,4.75,9.0,0.5,1499.502979181913,1528.6755452044333,0.25,3.5,50.827433977479586,11.03,7.21,1.25,1.37,3.26,1.33,3.31
F1,03/09/2022,16:00,Auxerre,Marseille,0,2,A,0,0,7,13,1.4,1.8,2.2,0.6,2.6,4.8,0.5,1502.4475665228456,1535.5993313552842,-0.40000000000000013,1.6,46.84823516756137,4.88,4.14,1.73,1.75,2.19,1.71,2.14
