Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,O_U_2.5,BTTS,Home_Pts_Last_5,Away_Pts_Last_5,Home_Avg_GF,Home_Avg_GA,Away_Avg_GF,Away_Avg_GA,Home_Avg_SOT,Away_Avg_SOT,H2H_Home_Win_Rate,Home_Elo,Away_Elo,Home_Goal_Difference,Away_Goal_Difference,Elo_Difference,PSH,PSD,PSA,P>2.5,P<2.5,Avg>2.5,Avg<2.5
P1,12/08/2022,20:15,Famalicao,Sp Braga,0,3,A,1,0,0,1,0.0,2.0,3.0,3.0,5.0,7.0,0.5,1492.262736403063,1497.737263596937,-2.0,0.0,74.52547280612589,3.7,3.7,2.05,1.87,2.02,1.84,1.97
P1,13/08/2022,18:00,Casa Pia,Benfica,0,1,A,0,0,1,3,0.0,0.0,4.0,0.0,3.0,6.0,0.5,1502.262736403063,1507.737263596937,0.0,4.0,74.52547280612589,14.87,6.08,1.24,1.67,2.28,1.64,2.24
P1,13/08/2022,20:30,Sp Lisbon,Rio Ave,3,0,H,1,0,1,0,3.0,3.0,0.0,1.0,4.0,0.0,0.5,1502.262736403063,1487.737263596937,0.0,-1.0,94.52547280612589,1.2,6.76,17.54,1.72,2.19,1.71,2.13
P1,14/08/2022,15:30,Boavista,Santa Clara,2,1,H,1,1,3,1,1.0,0.0,0.0,0.0,5.0,3.0,0.5,1512.262736403063,1497.737263596937,1.0,0.0,94.52547280612589,2.6,3.12,3.09,2.37,1.64,2.32,1.6
P1,14/08/2022,18:00,Vizela,Porto,0,1,A,0,0,3,3,1.0,0.0,5.0,1.0,7.0,7.0,0.5,1512.262736403063,1507.737263596937,1.0,4.0,84.52547280612589,11.5,5.67,1.3,1.71,2.23,1.66,2.21
P1,14/08/2022,20:30,Guimaraes,Estoril,1,0,H,0,0,3,3,1.0,0.0,2.0,0.0,6.0,5.0,0.5,1512.262736403063,1507.737263596937,1.0,2.0,84.52547280612589,2.03,3.31,4.26,2.2,1.73,2.11,1.72
P1,15/08/2022,18:00,Arouca,Gil Vicente,1,0,H,0,0,0,3,0.0,4.0,1.0,0.0,2.0,7.0,0.5,1492.262736403063,1507.737263596937,-4.0,1.0,64.52547280612589,2.64,3.36,2.8,2.06,1.81,2.02,1.78
P1,19/08/2022,20:15,Estoril,Rio Ave,2,2,D,1,1,3,0,1.0,0.5,0.0,2.0,4.5,0.5,0.5,1500.1232145081876,1480.392727309767,0.5,-2.0,99.73048719842063,2.16,3.31,3.8,2.31,1.66,2.27,1.63
P1,20/08/2022,15:30,Santa Clara,Arouca,1,2,A,1,1,1,3,0.5,1.0,0.5,2.0,2.0,3.0,0.5,1490.392727309767,1500.4266060028253,-0.5,-1.5,69.96612130694166,2.17,3.36,3.7,2.34,1.65,2.28,1.62
P1,20/08/2022,18:00,Chaves,Vizela,1,1,D,0,1,3,3,1.0,1.0,0.5,0.5,5.0,4.0,0.5,1500.1232145081876,1499.8767854918124,0.0,0.0,80.24642901637526,2.3,3.27,3.48,2.21,1.72,2.17,1.69
P1,20/08/2022,20:30,Porto,Sp Lisbon,3,0,H,1,0,6,4,3.0,0.5,3.0,1.5,5.5,5.0,0.5,1520.1232145081876,1509.607272690233,2.5,1.5,90.51594181795463,2.17,3.4,3.67,1.96,1.93,1.94,1.87
P1,21/08/2022,15:30,Casa Pia,Boavista,2,0,H,0,0,1,6,0.0,0.5,1.5,0.5,2.5,5.0,0.5,1490.1500245142663,1519.607272690233,-0.5,1.0,50.5427518240333,2.56,3.1,3.19,2.58,1.55,2.49,1.53
P1,21/08/2022,18:00,Sp Braga,Maritimo,5,0,H,1,0,4,0,3.0,1.5,1.0,3.5,8.0,4.5,0.5,1509.8499754857337,1479.8767854918124,1.5,-2.5,109.97318999392132,1.41,5.11,7.98,1.74,2.18,1.69,2.16
P1,21/08/2022,20:30,Portimonense,Guimaraes,2,1,H,1,1,3,6,1.5,0.5,1.0,0.0,5.5,4.5,0.5,1500.1232145081876,1519.8767854918124,1.0,1.0,60.24642901637526,2.83,3.27,2.71,2.25,1.7,2.18,1.68
P1,22/08/2022,20:15,Gil Vicente,Famalicao,0,0,D,0,0,3,0,0.5,0.5,0.0,2.5,4.5,5.0,0.5,1499.5733939971747,1480.1500245142663,0.0,-2.5,99.42336948290836,2.27,3.38,3.36,2.06,1.83,1.99,1.81
P1,26/08/2022,20:15,Pacos Ferreira,Estoril,0,3,A,1,0,0,4,0.0,2.0,1.3333333333333333,1.0,4.5,4.333333333333333,0.5,1479.8767854918124,1497.3290645369154,-2.0,0.33333333333333326,62.54772095489693,2.71,3.17,2.91,2.3,1.67,2.26,1.63
P1,27/08/2022,15:30,Maritimo,Portimonense,0,1,A,0,0,0,6,0.6666666666666666,4.0,1.6666666666666667,0.6666666666666666,3.3333333333333335,5.333333333333333,0.5,1472.9404296255086,1508.4063563677294,-3.3333333333333335,1.0,44.534073257779255,2.89,3.11,2.77,2.16,1.75,2.09,1.73
P1,27/08/2022,18:00,Boavista,Benfica,0,3,A,1,0,6,6,1.0,1.0,2.5,0.0,4.666666666666667,5.0,0.5,1511.051834145592,1519.8499754857337,0.0,2.5,71.20185865985832,9.71,4.92,1.38,1.76,2.15,1.72,2.12
P1,27/08/2022,20:30,Sp Lisbon,Chaves,0,2,A,0,0,4,4,2.0,2.0,1.0,1.0,4.666666666666667,4.333333333333333,0.5,1502.1551455575789,1497.8537495384035,0.0,0.0,84.3013960191754,1.2,7.03,16.15,1.57,2.48,1.55,2.41
P1,28/08/2022,15:30,Famalicao,Santa Clara,1,0,H,0,0,1,1,0.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,4.0,2.3333333333333335,0.5,1482.9360230444656,1478.4057279657486,-1.6666666666666667,-0.6666666666666666,84.53029507871702,2.19,3.51,3.5,2.05,1.85,2.04,1.77
P1,28/08/2022,18:00,Arouca,Sp Braga,0,6,A,1,0,6,7,1.0,1.6666666666666667,3.6666666666666665,1.0,3.3333333333333335,8.333333333333334,0.5,1512.4136053468437,1516.7863313520375,-0.6666666666666667,2.6666666666666665,75.62727399480627,5.18,4.12,1.68,1.85,2.05,1.78,2.04
P1,28/08/2022,20:30,Rio Ave,Porto,3,1,H,1,1,1,9,0.6666666666666666,2.0,3.0,0.3333333333333333,2.6666666666666665,5.333333333333333,0.5,1483.1868772810392,1527.5753416408418,-1.3333333333333335,2.6666666666666665,35.61153564019742,10.53,5.66,1.32,1.71,2.22,1.64,2.23
P1,29/08/2022,19:00,Guimaraes,Casa Pia,0,1,A,0,0,6,4,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,5.0,3.0,0.5,1511.5936436322706,1498.7054630589073,0.33333333333333337,0.3333333333333333,92.88818057336334,2.08,3.37,3.89,2.21,1.71,2.12,1.71
P1,29/08/2022,21:15,Vizela,Gil Vicente,2,2,D,1,1,4,4,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,4.0,4.666666666666667,0.5,1502.1462504615965,1496.7873954669753,0.0,0.0,85.3588549946212,2.46,3.27,3.12,2.09,1.79,2.03,1.77
P1,30/08/2022,20:15,Benfica,Pacos Ferreira,3,2,H,1,1,9,0,2.6666666666666665,0.0,0.0,2.3333333333333335,5.333333333333333,4.333333333333333,0.5,1531.8711136798124,1468.0957171914274,2.6666666666666665,-2.3333333333333335,143.775396488385,1.09,11.39,40.26,1.36,3.18,1.34,3.18
P1,02/09/2022,19:00,Benfica,Vizela,2,1,H,1,1,12,5,2.75,0.5,1.0,1.0,5.5,5.25,0.5,1537.9540095832442,1499.737691368882,2.25,0.0,118.21631821436222,1.19,7.5,15.97,1.4,3.05,1.38,2.97
P1,02/09/2022,21:15,Estoril,Sp Lisbon,0,2,A,0,0,7,4,1.75,0.75,1.5,2.0,5.0,6.0,0.5,1509.1101328373004,1489.7752778782133,1.0,-0.5,99.33485495908712,7.23,4.55,1.48,1.76,2.15,1.74,2.1
P1,03/09/2022,15:30,Sp Braga,Guimaraes,1,0,H,0,0,10,6,4.25,0.75,0.75,0.75,8.75,4.25,0.5,1528.9293197429988,1498.9820365174162,3.5,0.0,109.94728322558262,1.39,5.1,8.52,1.68,2.28,1.63,2.27
P1,03/09/2022,20:30,Gil Vicente,Porto,0,2,A,0,0,5,9,0.75,0.75,2.5,1.0,4.5,6.5,0.5,1499.1959545596899,1518.5967495995217,0.0,1.5,60.59920496016821,8.1,4.65,1.44,1.75,2.16,1.71,2.13
P1,04/09/2022,15:30,Casa Pia,Arouca,0,0,D,0,0,7,6,0.75,0.25,0.75,2.75,2.75,3.5,0.5,1511.3170701737617,1500.2706169558824,0.5,-2.0,91.04645321787939,2.15,3.04,4.28,2.41,1.62,2.29,1.6
