Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,O_U_2.5,BTTS,Home_Pts_Last_5,Away_Pts_Last_5,Home_Avg_GF,Home_Avg_GA,Away_Avg_GF,Away_Avg_GA,Home_Avg_SOT,Away_Avg_SOT,H2H_Home_Win_Rate,Home_Elo,Away_Elo,Home_Goal_Difference,Away_Goal_Difference,Elo_Difference,PSH,PSD,PSA,P>2.5,P<2.5,Avg>2.5,Avg<2.5
SC0,06/08/2022,15:00,Ross County,Celtic,1,3,A,1,1,0,3,1.0,2.0,2.0,0.0,3.0,9.0,0.5,1492.262736403063,1507.737263596937,-1.0,2.0,64.52547280612589,13.07,6.79,1.23,1.52,2.62,1.49,2.53
SC0,06/08/2022,15:00,Motherwell,St Johnstone,1,2,A,1,1,3,0,1.0,0.0,0.0,1.0,2.0,1.0,0.5,1512.262736403063,1487.737263596937,1.0,-1.0,104.52547280612589,2.25,3.18,3.71,2.54,1.56,2.45,1.53
SC0,06/08/2022,15:00,Rangers,Kilmarnock,2,0,H,0,0,3,1,2.0,1.0,1.0,1.0,6.0,5.0,0.5,1512.262736403063,1497.737263596937,1.0,0.0,94.52547280612589,1.2,7.0,16.56,1.57,2.49,1.54,2.41
SC0,07/08/2022,12:00,Hibernian,Hearts,1,1,D,0,1,3,3,1.0,0.0,2.0,1.0,1.0,4.0,0.5,1512.262736403063,1507.737263596937,1.0,1.0,84.52547280612589,2.93,3.23,2.65,2.25,1.7,2.17,1.66
SC0,07/08/2022,15:00,Dundee United,Livingston,0,1,A,0,0,1,0,1.0,1.0,1.0,2.0,5.0,2.0,0.5,1502.262736403063,1487.737263596937,0.0,-1.0,94.52547280612589,2.46,3.16,3.29,2.4,1.62,2.33,1.58
SC0,13/08/2022,15:00,Aberdeen,Motherwell,2,3,A,1,1,3,3,2.0,1.5,1.0,1.0,6.5,2.0,0.5,1499.8767854918124,1499.3418473133463,0.5,0.0,80.53493817846606,1.8,3.63,5.02,2.19,1.73,2.14,1.68
SC0,13/08/2022,15:00,Livingston,Hibernian,2,1,H,1,1,3,4,1.0,1.0,1.0,0.5,3.0,2.0,0.5,1500.392727309767,1509.8767854918124,0.0,0.5,70.51594181795463,3.29,3.13,2.48,2.53,1.56,2.44,1.53
SC0,13/08/2022,15:00,Rangers,St Johnstone,4,0,H,1,0,6,3,2.0,0.5,1.0,1.0,5.0,2.0,0.5,1519.607272690233,1500.6581526866537,1.5,0.0,98.94912000357931,1.19,7.16,18.43,1.69,2.24,1.69,2.15
SC0,14/08/2022,12:00,Kilmarnock,Celtic,0,5,A,1,0,1,6,0.5,1.5,2.5,0.5,2.5,8.0,0.5,1490.392727309767,1519.5733939971747,-1.0,2.0,50.819333312592335,13.83,7.05,1.22,1.54,2.58,1.5,2.51
SC0,14/08/2022,15:00,Hearts,Dundee United,4,1,H,1,1,4,1,1.5,1.0,0.5,1.0,5.0,4.0,0.5,1510.1232145081876,1489.607272690233,0.5,-0.5,100.51594181795463,1.6,4.13,6.05,1.98,1.91,1.94,1.85
SC0,20/08/2022,12:30,Hibernian,Rangers,2,2,D,1,1,4,9,1.0,1.0,2.6666666666666665,0.3333333333333333,3.0,6.0,0.5,1501.8789803498694,1526.833869455504,0.0,2.333333333333333,55.04511089436528,5.61,4.26,1.62,1.91,1.98,1.86,1.93
SC0,20/08/2022,15:00,Ross County,Kilmarnock,1,0,H,0,0,0,1,0.6666666666666666,2.0,0.3333333333333333,2.6666666666666665,2.0,2.6666666666666665,0.5,1472.6810555535772,1478.940372216731,-1.3333333333333335,-2.333333333333333,73.74068333684613,2.35,3.34,3.29,2.27,1.68,2.24,1.63
SC0,20/08/2022,15:00,St Johnstone,Aberdeen,0,1,A,0,0,3,3,0.6666666666666666,2.0,2.0,2.0,1.6666666666666667,5.333333333333333,0.5,1493.4315559213826,1487.5994457398206,-1.3333333333333335,0.0,85.83211018156203,3.62,3.22,2.27,2.48,1.59,2.43,1.54
SC0,20/08/2022,15:00,Dundee United,St Mirren,0,3,A,1,0,1,3,0.6666666666666666,2.0,0.6666666666666666,1.6666666666666667,3.3333333333333335,3.0,0.5,1482.4222516638445,1487.8687649574358,-1.3333333333333335,-1.0,74.55348670640865,2.49,3.14,3.25,2.41,1.62,2.36,1.57
SC0,20/08/2022,15:00,Motherwell,Livingston,1,0,H,0,0,6,6,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,3.3333333333333335,4.0,0.5,1511.619187065338,1508.39053245171,0.3333333333333335,0.33333333333333326,83.22865461362812,2.45,3.15,3.31,2.34,1.65,2.28,1.61
SC0,21/08/2022,15:00,Celtic,Hearts,2,0,H,0,0,9,7,3.3333333333333335,0.3333333333333333,2.3333333333333335,1.0,9.0,7.333333333333333,0.5,1531.0257490902106,1517.3082355345762,3.0,1.3333333333333335,93.71751355563447,1.22,7.06,13.61,1.48,2.73,1.45,2.69
SC0,27/08/2022,15:00,Aberdeen,Livingston,5,0,H,1,0,6,6,1.75,1.5,1.0,1.0,5.0,3.25,0.5,1500.0208317979957,1500.7412515700325,0.25,0.0,79.27958022796315,1.77,3.65,5.22,2.16,1.75,2.13,1.69
SC0,27/08/2022,15:00,Kilmarnock,Motherwell,2,1,H,1,1,1,9,0.25,2.25,1.5,1.0,2.5,3.0,0.5,1471.0314940118942,1519.2684679470156,-2.0,0.5,31.76302606487866,2.77,3.26,2.78,2.25,1.7,2.15,1.68
SC0,27/08/2022,15:00,Rangers,Ross County,4,0,H,1,0,10,3,2.5,0.75,0.75,1.5,5.0,2.75,0.5,1528.4050708709767,1480.589933758414,1.75,-0.75,127.81513711256275,1.15,8.65,19.72,1.48,2.71,1.47,2.62
SC0,27/08/2022,15:00,St Mirren,Hibernian,1,0,H,0,0,6,5,1.25,1.25,1.25,1.25,3.5,3.5,0.5,1499.9822471481407,1500.3077789343968,0.0,0.0,79.67446821374392,3.45,3.18,2.36,2.38,1.63,2.31,1.59
SC0,28/08/2022,12:00,Dundee United,Celtic,0,9,A,1,0,1,12,0.5,2.25,3.0,0.25,3.25,8.5,0.5,1470.3087694731396,1538.3919138121435,-1.75,2.75,11.916855660996134,19.21,8.01,1.17,1.48,2.72,1.42,2.76
SC0,28/08/2022,15:00,Hearts,St Johnstone,3,2,H,1,1,7,3,1.75,1.25,0.5,1.75,5.5,1.5,0.5,1509.9420708126434,1481.0101698632075,0.5,-1.25,108.93190094943589,1.65,3.8,6.16,2.12,1.78,2.09,1.72
SC0,03/09/2022,12:30,Celtic,Rangers,4,0,H,1,0,15,13,4.2,0.2,2.8,0.6,9.4,6.6,0.5,1548.7347740471523,1534.8836976085242,4.0,2.1999999999999997,93.85107643862807,1.87,3.84,4.26,1.75,2.17,1.74,2.08
SC0,03/09/2022,15:00,Livingston,Hearts,1,0,H,0,0,6,10,0.8,1.8,2.0,1.4,3.2,5.6,0.5,1492.9843050633458,1516.9056092390829,-1.0,0.6000000000000001,56.07869582426292,3.38,3.47,2.26,2.06,1.84,2.04,1.76
SC0,03/09/2022,15:00,St Johnstone,St Mirren,3,0,H,1,0,3,9,0.8,2.0,1.2,1.0,2.2,3.2,0.5,1474.046631436768,1507.728402466452,-1.2,0.19999999999999996,46.318228970315886,2.57,3.08,3.19,2.65,1.52,2.48,1.52
