Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,O_U_2.5,BTTS,Home_Pts_Last_5,Away_Pts_Last_5,Home_Avg_GF,Home_Avg_GA,Away_Avg_GF,Away_Avg_GA,Home_Avg_SOT,Away_Avg_SOT,H2H_Home_Win_Rate,Home_Elo,Away_Elo,Home_Goal_Difference,Away_Goal_Difference,Elo_Difference,PSH,PSD,PSA,P>2.5,P<2.5,Avg>2.5,Avg<2.5
SP1,19/08/2022,19:00,Espanol,Vallecano,0,2,A,0,0,1,1,2.0,2.0,0.0,0.0,2.0,2.0,0.5,1502.262736403063,1502.262736403063,0.0,0.0,80.0,2.56,3.04,3.3,2.47,1.6,2.43,1.57
SP1,20/08/2022,16:30,Osasuna,Cadiz,2,0,H,0,0,3,0,2.0,1.0,0.0,1.0,5.0,2.0,0.5,1507.737263596937,1487.737263596937,1.0,-1.0,100.0,1.97,3.27,4.76,2.5,1.59,2.42,1.57
SP1,20/08/2022,18:30,Mallorca,Betis,1,2,A,1,1,1,3,0.0,0.0,3.0,0.0,2.0,8.0,0.5,1502.262736403063,1507.737263596937,0.0,3.0,74.52547280612589,3.18,3.35,2.44,2.22,1.73,2.18,1.7
SP1,20/08/2022,21:00,Celta,Real Madrid,1,4,A,1,1,1,3,2.0,2.0,2.0,1.0,3.0,15.0,0.5,1497.737263596937,1512.262736403063,0.0,1.0,65.47452719387411,4.79,4.34,1.71,1.72,2.24,1.68,2.21
SP1,21/08/2022,16:30,Ath Bilbao,Valencia,1,0,H,0,0,1,3,0.0,0.0,1.0,0.0,6.0,2.0,0.5,1497.737263596937,1507.737263596937,0.0,1.0,70.0,1.81,3.59,5.2,2.14,1.78,2.06,1.77
SP1,21/08/2022,18:30,Ath Madrid,Villarreal,0,2,A,0,0,3,3,3.0,0.0,3.0,0.0,5.0,4.0,0.5,1512.262736403063,1512.262736403063,3.0,3.0,80.0,1.96,3.55,4.3,2.1,1.81,2.05,1.78
SP1,21/08/2022,21:00,Sociedad,Barcelona,1,4,A,1,1,3,1,1.0,0.0,0.0,0.0,7.0,6.0,0.5,1512.262736403063,1497.737263596937,1.0,0.0,94.52547280612589,3.46,3.7,2.16,1.83,2.07,1.79,2.05
SP1,26/08/2022,19:00,Girona,Celta,0,1,A,0,0,3,1,1.5,1.0,1.5,3.0,3.5,2.5,0.5,1499.8767854918124,1485.8747514373174,0.5,-1.5,94.00203405449497,2.81,3.15,2.87,2.26,1.71,2.21,1.68
SP1,26/08/2022,21:00,Betis,Osasuna,1,0,H,0,0,6,6,2.5,0.5,2.0,0.5,5.5,4.0,0.5,1519.8499754857337,1514.9359636008794,2.0,1.5,84.91401188485429,1.82,3.77,4.78,1.96,1.94,1.93,1.9
SP1,27/08/2022,16:30,Elche,Sociedad,0,1,A,0,0,1,3,0.5,2.0,1.0,2.0,2.5,6.0,0.5,1489.8767854918124,1499.607272690233,-1.5,-1.0,70.26951280157937,3.82,3.21,2.23,2.37,1.65,2.31,1.63
SP1,27/08/2022,18:30,Vallecano,Mallorca,0,2,A,0,0,4,1,1.0,0.0,0.5,1.0,2.5,4.5,0.5,1514.525472806126,1490.1500245142663,1.0,-0.5,104.37544829185958,2.08,3.23,4.3,2.41,1.63,2.34,1.61
SP1,27/08/2022,21:00,Almeria,Sevilla,2,1,H,1,1,1,1,1.0,1.5,1.0,1.5,6.5,2.5,0.5,1490.1232145081876,1489.8767854918124,-0.5,-0.5,80.24642901637526,3.72,3.29,2.23,2.29,1.69,2.25,1.66
SP1,28/08/2022,16:30,Getafe,Villarreal,0,0,D,0,0,0,6,0.5,3.0,2.5,0.0,1.5,4.5,0.5,1480.1232145081876,1524.525472806126,-2.5,2.5,35.59774170206174,4.64,3.43,1.93,2.41,1.63,2.37,1.6
SP1,28/08/2022,18:30,Barcelona,Valladolid,4,0,H,1,0,4,1,2.0,0.5,0.5,2.0,6.5,4.5,0.5,1510.392727309767,1490.1232145081876,1.5,-1.5,100.26951280157937,1.17,8.8,17.21,1.38,3.16,1.37,3.05
SP1,28/08/2022,21:00,Espanol,Real Madrid,1,3,A,1,1,1,6,1.0,2.0,3.0,1.0,1.5,11.0,0.5,1490.0,1524.1252485626826,-1.0,2.0,45.8747514373174,6.72,5.12,1.47,1.65,2.37,1.61,2.33
SP1,29/08/2022,19:00,Cadiz,Ath Bilbao,0,4,A,1,0,0,4,0.0,1.5,0.5,0.0,2.0,4.0,0.5,1480.5385635929947,1505.749327662752,-1.5,0.5,54.78923593024274,3.99,3.15,2.2,2.57,1.56,2.52,1.53
