Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,O_U_2.5,BTTS,Home_Pts_Last_5,Away_Pts_Last_5,Home_Avg_GF,Home_Avg_GA,Away_Avg_GF,Away_Avg_GA,Home_Avg_SOT,Away_Avg_SOT,H2H_Home_Win_Rate,Home_Elo,Away_Elo,Home_Goal_Difference,Away_Goal_Difference,Elo_Difference,PSH,PSD,PSA,P>2.5,P<2.5,Avg>2.5,Avg<2.5
T1,12/08/2022,19:00,Trabzonspor,Hatayspor,1,0,H,0,0,3,0,2.0,0.0,0.0,0.0,5.0,0.0,0.5,1512.262736403063,1500.0,2.0,0.0,92.26273640306295,1.5,4.61,6.71,1.7,2.24,1.67,2.19
T1,13/08/2022,19:45,Ad. Demirspor,Sivasspor,3,0,H,1,0,3,1,3.0,2.0,1.0,1.0,4.0,3.0,0.5,1512.262736403063,1497.737263596937,1.0,0.0,94.52547280612589,1.96,3.81,3.88,1.9,1.99,1.83,1.97
T1,13/08/2022,19:45,Galatasaray,Giresunspor,0,1,A,0,0,3,0,1.0,0.0,2.0,3.0,4.0,5.0,0.5,1512.262736403063,1487.737263596937,1.0,-1.0,104.52547280612589,1.44,4.85,7.58,1.78,2.12,1.72,2.1
T1,14/08/2022,17:15,Gaziantep,Ankaragucu,1,0,H,0,0,1,1,1.0,1.0,0.0,0.0,6.0,3.0,0.5,1502.262736403063,1497.737263596937,0.0,0.0,84.52547280612589,2.05,3.43,4.0,1.95,1.93,1.89,1.9
T1,14/08/2022,17:15,Umraniyespor,Antalyaspor,0,1,A,0,0,1,0,3.0,3.0,0.0,1.0,5.0,4.0,0.5,1502.262736403063,1487.737263596937,0.0,-1.0,94.52547280612589,3.05,3.62,2.36,1.87,2.02,1.82,1.98
T1,14/08/2022,19:45,Alanyaspor,Besiktas,3,3,D,1,1,3,3,4.0,2.0,1.0,0.0,6.0,6.0,0.5,1512.262736403063,1507.737263596937,2.0,1.0,84.52547280612589,2.89,3.56,2.49,1.74,2.18,1.68,2.15
T1,15/08/2022,17:15,Konyaspor,Buyuksehyr,0,0,D,0,0,1,3,0.0,0.0,4.0,0.0,0.0,7.0,0.5,1502.262736403063,1507.737263596937,0.0,4.0,74.52547280612589,2.84,3.53,2.52,1.94,1.93,1.9,1.88
T1,15/08/2022,19:45,Kasimpasa,Fenerbahce,0,6,A,1,0,0,1,0.0,4.0,3.0,3.0,3.0,6.0,0.5,1492.262736403063,1497.737263596937,-4.0,0.0,74.52547280612589,3.21,3.85,2.16,1.6,2.43,1.56,2.39
T1,19/08/2022,19:00,Umraniyespor,Galatasaray,0,1,A,0,0,1,3,1.5,2.0,0.5,0.5,3.5,3.0,0.5,1489.607272690233,1499.3418473133463,-0.5,0.0,70.2654253768867,4.4,3.9,1.83,1.88,2.01,1.85,1.95
T1,20/08/2022,17:15,Giresunspor,Kasimpasa,1,0,H,0,0,3,0,1.5,1.5,0.0,5.0,4.5,2.5,0.5,1500.6581526866537,1480.1500245142663,0.0,-5.0,100.50812817238739,2.35,3.64,3.06,1.79,2.11,1.76,2.05
T1,20/08/2022,17:15,Hatayspor,Gaziantep,1,2,A,1,1,0,4,0.0,1.0,1.0,0.5,3.0,7.5,0.5,1492.5948253195181,1509.8767854918124,-1.0,0.5,62.71803982770575,2.21,3.75,3.22,1.77,2.14,1.72,2.11
T1,20/08/2022,19:45,Antalyaspor,Trabzonspor,5,2,H,1,1,3,6,0.5,0.5,1.5,0.0,3.0,5.5,0.5,1500.392727309767,1519.6679110835448,0.0,1.5,60.724816226222174,2.58,3.31,2.96,1.91,1.97,1.87,1.92
T1,21/08/2022,17:15,Buyuksehyr,Kayserispor,2,0,H,0,0,4,3,2.0,0.0,0.5,0.5,5.0,2.5,0.5,1509.8499754857337,1499.8767854918124,2.0,0.0,89.97318999392132,1.57,4.18,6.36,1.88,2.01,1.84,1.94
T1,21/08/2022,19:45,Besiktas,Karagumruk,4,1,H,1,1,4,0,2.0,1.5,2.0,4.0,5.0,4.0,0.5,1510.1232145081876,1487.737263596937,0.5,-2.0,102.38595091125057,1.66,4.39,5.01,1.65,2.35,1.62,2.27
T1,22/08/2022,17:15,Sivasspor,Alanyaspor,1,1,D,0,1,1,4,0.5,2.0,3.5,2.5,2.0,4.5,0.5,1490.392727309767,1509.8767854918124,-1.5,1.0,60.51594181795463,2.55,3.53,2.8,1.94,1.93,1.92,1.86
T1,22/08/2022,17:15,Istanbulspor,Konyaspor,0,4,A,1,0,0,2,0.0,1.5,0.0,0.0,1.5,1.0,0.5,1480.1232145081876,1500.1500245142663,-1.5,0.0,59.97318999392132,3.95,3.55,2.0,1.97,1.9,1.98,1.81
T1,22/08/2022,19:45,Fenerbahce,Ad. Demirspor,4,2,H,1,1,4,6,4.5,1.5,3.0,1.0,7.5,8.5,0.5,1509.8499754857337,1519.607272690233,3.0,2.0,70.24270279550069,1.75,4.49,4.16,1.52,2.59,1.51,2.5
T1,26/08/2022,19:00,Gaziantep,Antalyaspor,5,2,H,1,1,7,6,1.3333333333333333,0.6666666666666666,2.0,1.0,6.0,4.0,0.5,1521.6626000417514,1508.6625091032652,0.6666666666666666,1.0,93.00009093848621,2.57,3.41,2.9,2.08,1.83,2.03,1.78
T1,27/08/2022,17:15,Karagumruk,Ankaragucu,4,1,H,1,1,0,1,1.5,4.0,0.0,0.5,3.5,1.5,0.5,1480.6017253023178,1490.1232145081876,-2.5,-0.5,70.47851079413022,1.91,3.95,3.97,1.82,2.07,1.79,2.01
T1,27/08/2022,19:45,Ad. Demirspor,Umraniyespor,1,0,H,0,0,6,1,2.6666666666666665,2.0,1.0,1.6666666666666667,8.666666666666666,3.3333333333333335,0.5,1511.601917178587,1477.6120002220316,0.6666666666666665,-0.6666666666666667,113.98991695655536,1.56,4.37,6.28,1.63,2.39,1.61,2.28
T1,27/08/2022,19:45,Alanyaspor,Istanbulspor,0,1,A,0,0,5,0,2.6666666666666665,2.0,0.0,2.3333333333333335,4.666666666666667,2.3333333333333335,0.5,1511.6011711788008,1468.4139900354014,0.6666666666666665,-2.3333333333333335,123.18718114339936,1.49,4.79,6.6,1.58,2.5,1.57,2.38
