Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,O_U_2.5,BTTS,Home_Pts_Last_5,Away_Pts_Last_5,Home_Avg_GF,Home_Avg_GA,Away_Avg_GF,Away_Avg_GA,Home_Avg_SOT,Away_Avg_SOT,H2H_Home_Win_Rate,Home_Elo,Away_Elo,Home_Goal_Difference,Away_Goal_Difference,Elo_Difference,PSH,PSD,PSA,P>2.5,P<2.5,Avg>2.5,Avg<2.5
G1,27/08/2022,19:30,AEK,Volos NFC,0,1,A,0,0,3,1,3.0,0.0,3.0,3.0,3.0,6.0,0.5,1512.262736403063,1497.737263596937,3.0,0.0,94.52547280612589,1.23,6.37,11.64,1.59,2.36,1.58,2.3
G1,28/08/2022,17:00,Panetolikos,Aris,3,1,H,1,1,0,3,0.0,1.0,3.0,0.0,2.0,6.0,0.5,1492.262736403063,1507.737263596937,-1.0,3.0,64.52547280612589,4.3,3.25,1.93,2.28,1.62,2.31,1.58
G1,28/08/2022,19:00,OFI Crete,Panathinaikos,0,2,A,0,0,0,3,1.0,3.0,1.0,0.0,2.0,4.0,0.5,1492.262736403063,1507.737263596937,-2.0,1.0,64.52547280612589,4.29,3.41,1.88,2.18,1.68,2.16,1.66
G1,28/08/2022,19:45,PAOK,Atromitos,2,1,H,1,1,3,3,1.0,0.0,3.0,1.0,7.0,4.0,0.5,1507.737263596937,1507.737263596937,1.0,2.0,80.0,1.45,4.31,7.04,1.96,1.84,1.92,1.84
G1,29/08/2022,17:00,Asteras Tripolis,Olympiakos,0,0,D,0,0,1,3,3.0,3.0,2.0,0.0,4.0,4.0,0.5,1502.262736403063,1507.737263596937,0.0,2.0,74.52547280612589,4.26,3.56,1.84,2.06,1.75,2.06,1.72
G1,03/09/2022,15:45,Lamia,Asteras Tripolis,0,0,D,0,0,1,2,0.5,2.0,1.5,1.5,3.5,2.5,0.5,1490.1232145081876,1500.1500245142663,-1.5,0.0,69.97318999392132,3.14,3.07,2.5,2.51,1.54,2.46,1.51
G1,03/09/2022,17:00,Olympiakos,Ionikos,3,1,H,1,1,4,1,1.0,0.0,0.0,0.5,2.5,2.5,0.5,1509.8499754857337,1490.0,1.0,-0.5,99.8499754857337,1.2,6.78,14.19,1.64,2.26,1.62,2.23
G1,03/09/2022,18:30,Panathinaikos,Levadeiakos,1,0,H,0,0,6,1,1.5,0.0,0.0,1.5,4.5,3.0,0.5,1519.5733939971747,1494.525472806126,1.5,-1.5,105.04792119104877,1.13,7.9,27.21,1.98,1.85,1.85,1.9
G1,04/09/2022,16:30,Atromitos,Panetolikos,1,1,D,0,1,3,3,2.0,1.5,1.5,1.0,4.0,2.5,0.5,1500.0,1500.4266060028253,0.5,0.5,79.57339399717466,1.98,3.19,4.17,2.15,1.69,2.1,1.69
G1,04/09/2022,17:00,Volos NFC,OFI Crete,0,1,A,0,0,4,0,2.0,1.5,0.5,2.5,4.5,1.5,0.5,1510.392727309767,1480.4266060028253,0.5,-2.0,109.96612130694166,1.81,3.69,4.27,1.84,1.96,1.87,1.89
G1,04/09/2022,19:30,AEK,Giannina,2,0,H,0,0,3,1,1.5,0.5,0.5,1.5,3.5,3.0,0.5,1499.607272690233,1489.8767854918124,1.0,-1.0,89.73048719842063,1.24,5.67,11.92,1.71,2.1,1.75,2.03
G1,04/09/2022,19:30,Aris,PAOK,0,0,D,0,0,3,6,2.0,1.5,1.5,0.5,5.5,5.5,0.5,1499.5733939971747,1515.474527193874,0.5,1.0,64.09886680330055,2.54,2.99,3.06,2.31,1.6,2.25,1.61
G1,10/09/2022,16:30,OFI Crete,Panetolikos,1,2,A,1,1,3,4,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,2.0,0.5,1493.4900657781486,1502.6776891331717,-1.0,0.33333333333333326,70.8123766449769,2.15,3.29,3.64,2.3,1.63,2.24,1.61
G1,10/09/2022,17:15,Giannina,Levadeiakos,2,1,H,1,1,1,1,0.3333333333333333,1.6666666666666667,0.0,1.3333333333333333,2.0,2.3333333333333335,0.5,1482.4035065922583,1487.4601102012416,-1.3333333333333335,-1.3333333333333333,74.94339639101668,2.07,3.27,3.9,2.46,1.56,2.41,1.53
G1,10/09/2022,19:30,Ionikos,Atromitos,1,4,A,1,1,1,4,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.3333333333333335,3.6666666666666665,0.5,1482.7973203120416,1497.7489168696536,-1.0,0.3333333333333335,65.04840344238801,2.35,3.19,3.16,2.24,1.64,2.27,1.6
G1,11/09/2022,16:30,Olympiakos,Volos NFC,1,1,D,0,1,7,4,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.6666666666666665,3.3333333333333335,0.5,1517.052655173692,1497.3292675344437,1.3333333333333335,0.0,99.72338763924836,1.27,5.38,11.05,1.79,2.01,1.74,2.04
G1,11/09/2022,19:30,Asteras Tripolis,Aris,0,2,A,0,0,3,4,1.0,1.0,1.3333333333333333,1.0,2.6666666666666665,4.666666666666667,0.5,1502.1372192779909,1497.7491310130365,0.0,0.33333333333333326,84.38808826495438,3.03,2.95,2.6,2.45,1.54,2.41,1.53
G1,11/09/2022,19:30,Panathinaikos,AEK,2,1,H,1,1,9,6,1.3333333333333333,0.0,1.6666666666666667,0.3333333333333333,4.0,4.0,0.5,1526.638756602059,1507.080551589787,1.3333333333333333,1.3333333333333335,99.55820501227186,2.25,3.07,3.51,2.42,1.56,2.38,1.55
G1,12/09/2022,17:00,PAOK,Lamia,1,0,H,0,0,7,2,1.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,4.333333333333333,3.6666666666666665,0.5,1517.2987901780123,1488.136019744463,0.6666666666666667,-1.0,109.16277043354921,1.18,6.66,14.27,1.93,1.87,1.88,1.88
G1,17/09/2022,18:00,Panetolikos,AEK,0,2,A,0,0,7,6,1.5,1.0,1.5,0.75,2.75,3.75,0.5,1514.6880726378702,1499.8701293857569,0.5,0.75,94.81794325211331,5.42,3.87,1.62,2.01,1.83,2.03,1.74
G1,17/09/2022,18:00,Atromitos,Lamia,0,0,D,0,0,7,2,2.25,1.25,0.25,1.25,5.25,3.5,0.5,1509.5995869635296,1481.1785123864543,1.0,-1.0,108.42107457707539,1.85,3.44,4.65,2.38,1.59,2.32,1.57
G1,17/09/2022,19:30,Panathinaikos,Giannina,3,0,H,1,0,12,4,1.5,0.25,0.75,1.5,4.25,3.25,0.5,1533.8491788060892,1490.279305733064,1.25,-0.75,123.56987307302529,1.26,5.43,13.43,1.94,1.89,1.91,1.85
G1,18/09/2022,16:00,Levadeiakos,Asteras Tripolis,1,1,D,0,1,1,3,0.25,1.5,0.75,1.25,2.5,3.5,0.5,1479.584311060436,1489.7549978576217,-1.25,-0.5,69.82931320281432,2.85,3.11,2.61,2.42,1.56,2.36,1.56
G1,18/09/2022,17:00,OFI Crete,PAOK,1,1,D,0,1,3,10,0.75,1.75,1.0,0.25,2.25,4.0,0.5,1481.4796822734502,1524.256297536021,-1.0,0.75,37.223384737429114,4.26,3.51,1.85,2.13,1.7,2.13,1.67
