Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,O_U_2.5,BTTS,Home_Pts_Last_5,Away_Pts_Last_5,Home_Avg_GF,Home_Avg_GA,Away_Avg_GF,Away_Avg_GA,Home_Avg_SOT,Away_Avg_SOT,H2H_Home_Win_Rate,Home_Elo,Away_Elo,Home_Goal_Difference,Away_Goal_Difference,Elo_Difference,PSH,PSD,PSA,P>2.5,P<2.5,Avg>2.5,Avg<2.5
I1,20/08/2022,17:30,Torino,Lazio,0,0,D,0,0,3,3,2.0,1.0,2.0,1.0,6.0,6.0,0.5,1512.262736403063,1507.737263596937,1.0,1.0,84.52547280612589,3.08,3.5,2.43,1.92,1.99,1.87,1.95
I1,20/08/2022,19:45,Inter,Spezia,3,0,H,1,0,3,3,2.0,1.0,1.0,0.0,9.0,2.0,0.5,1512.262736403063,1507.737263596937,1.0,1.0,84.52547280612589,1.18,8.03,17.56,1.35,3.33,1.33,3.34
I1,21/08/2022,17:30,Empoli,Fiorentina,0,0,D,0,0,0,3,0.0,1.0,3.0,2.0,5.0,11.0,0.5,1492.262736403063,1507.737263596937,-1.0,1.0,64.52547280612589,3.89,3.95,1.95,1.71,2.25,1.66,2.23
I1,21/08/2022,17:30,Napoli,Monza,4,0,H,1,0,3,0,5.0,2.0,1.0,2.0,8.0,4.0,0.5,1512.262736403063,1487.737263596937,3.0,-1.0,104.52547280612589,1.35,5.69,9.07,1.53,2.65,1.52,2.55
I1,21/08/2022,19:45,Atalanta,Milan,1,1,D,0,1,3,3,2.0,0.0,4.0,2.0,3.0,5.0,0.5,1512.262736403063,1507.737263596937,2.0,2.0,84.52547280612589,2.87,3.61,2.52,1.78,2.15,1.74,2.11
I1,22/08/2022,17:30,Roma,Cremonese,1,0,H,0,0,3,0,1.0,0.0,2.0,3.0,5.0,4.0,0.5,1512.262736403063,1492.262736403063,1.0,-1.0,100.0,1.24,6.33,14.61,1.64,2.37,1.63,2.29
I1,22/08/2022,19:45,Sampdoria,Juventus,0,0,D,0,0,0,3,0.0,2.0,3.0,0.0,1.0,4.0,0.5,1487.737263596937,1507.737263596937,-2.0,3.0,60.0,6.12,4.1,1.62,1.9,2.0,1.85,1.96
I1,26/08/2022,17:30,Monza,Udinese,1,2,A,1,1,0,1,0.5,3.0,1.0,2.0,2.5,3.0,0.5,1480.6581526866537,1489.8767854918124,-2.5,-1.0,70.78136719484132,3.28,3.45,2.34,1.9,2.01,1.86,1.97
I1,26/08/2022,19:45,Lazio,Inter,3,1,H,1,1,4,6,1.0,0.5,2.5,0.5,4.0,8.5,0.5,1510.1232145081876,1519.8767854918124,0.5,2.0,70.24642901637526,4.21,3.78,1.92,1.72,2.24,1.67,2.21
I1,27/08/2022,17:30,Cremonese,Torino,1,2,A,1,1,0,4,1.0,2.0,1.0,0.5,3.5,3.5,0.5,1485.0640363991206,1509.8767854918124,-1.0,0.5,55.187250907308226,3.34,3.46,2.31,2.02,1.88,1.98,1.85
I1,27/08/2022,17:30,Juventus,Roma,1,1,D,0,1,4,6,1.5,0.0,1.0,0.0,4.0,8.5,0.5,1509.4472371703732,1519.4614364070053,1.5,1.0,69.98580076336793,2.49,3.23,3.22,2.15,1.78,2.06,1.78
I1,27/08/2022,19:45,Milan,Bologna,2,0,H,0,0,4,1,2.5,1.5,1.0,1.5,6.0,4.0,0.5,1510.1232145081876,1489.8767854918124,1.0,-0.5,100.24642901637526,1.37,5.59,8.58,1.63,2.4,1.61,2.34
I1,27/08/2022,19:45,Spezia,Sassuolo,2,2,D,1,1,3,3,0.5,1.5,0.5,1.5,1.0,5.0,0.5,1500.1232145081876,1499.8767854918124,-1.0,-1.0,80.24642901637526,3.13,3.73,2.3,1.63,2.4,1.62,2.32
I1,28/08/2022,17:30,Salernitana,Sampdoria,4,0,H,1,0,1,1,0.0,0.5,0.0,1.0,4.0,1.0,0.5,1490.1232145081876,1486.0272900235009,-0.5,-1.0,84.09592448468675,2.53,3.21,3.18,2.04,1.87,1.99,1.84
I1,28/08/2022,17:30,Verona,Atalanta,0,1,A,0,0,1,4,1.5,3.0,1.5,0.5,3.0,2.5,0.5,1490.1232145081876,1509.8767854918124,-1.5,1.0,60.24642901637526,4.49,4.08,1.8,1.66,2.34,1.65,2.25
I1,28/08/2022,19:45,Fiorentina,Napoli,0,0,D,0,0,4,6,1.5,1.0,4.5,1.0,6.5,6.5,0.5,1509.5733939971747,1519.3418473133463,0.5,3.5,70.23154668382836,3.45,3.71,2.16,1.72,2.22,1.69,2.19
I1,28/08/2022,19:45,Lecce,Empoli,1,1,D,0,1,0,1,0.5,1.5,0.0,0.5,2.5,3.5,0.5,1480.1232145081876,1490.4266060028253,-1.0,-0.5,69.69660850536229,2.45,3.42,3.12,1.87,2.05,1.79,2.05
I1,30/08/2022,17:30,Sassuolo,Milan,0,0,D,0,0,4,7,1.0,1.6666666666666667,2.3333333333333335,1.0,6.0,6.333333333333333,0.5,1502.1462504615965,1517.315379606183,-0.6666666666666667,1.3333333333333335,64.83087085541365,5.47,4.29,1.64,1.57,2.54,1.53,2.5
I1,30/08/2022,19:45,Inter,Cremonese,3,1,H,1,1,6,0,2.0,1.3333333333333333,1.0,2.0,8.0,4.333333333333333,0.5,1511.8715329621778,1473.4888451182742,0.6666666666666667,-1.0,118.38268784390357,1.16,9.52,16.85,1.33,3.46,1.29,3.56
I1,30/08/2022,19:45,Roma,Monza,3,0,H,1,0,7,0,1.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,7.0,3.3333333333333335,0.5,1521.448979801972,1468.648625648429,0.6666666666666667,-2.0,132.8003541535429,1.31,6.14,9.84,1.53,2.65,1.52,2.54
I1,31/08/2022,17:30,Sampdoria,Lazio,1,1,D,0,1,1,7,0.0,2.0,1.6666666666666667,0.6666666666666666,2.6666666666666665,5.0,0.5,1478.40157792436,1518.1284670378222,-2.0,1.0,40.27311088653778,4.25,3.78,1.91,1.91,2.0,1.87,1.95
I1,31/08/2022,17:30,Udinese,Fiorentina,1,0,H,0,0,4,5,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,3.3333333333333335,6.0,0.5,1501.886312530037,1507.5790578342464,-0.3333333333333335,0.33333333333333337,74.30725469579056,2.74,3.55,2.67,1.83,2.07,1.79,2.04
I1,31/08/2022,17:30,Empoli,Verona,1,1,D,0,1,2,1,0.3333333333333333,0.6666666666666666,1.0,2.3333333333333335,3.3333333333333335,2.6666666666666665,0.5,1492.4061532649587,1478.4063563677294,-0.3333333333333333,-1.3333333333333335,93.99979689722932,2.79,3.39,2.71,1.87,2.05,1.83,2.01
I1,31/08/2022,19:45,Juventus,Spezia,2,0,H,0,0,5,4,1.3333333333333333,0.3333333333333333,1.0,1.6666666666666667,3.6666666666666665,1.3333333333333333,0.5,1507.4596937754065,1497.8537495384035,1.0,-0.6666666666666667,89.60594423700309,1.29,5.91,11.23,1.71,2.23,1.66,2.23
